03:52:56 exp:125.36/29.42/31, hash:124.96/29.60/ 99.6%, now:125.61/29.48/100.2%/ 99.7%/29, V:1255, P:3695+0.5%, L:0.00%/0.000, T:70.6/72.9/6.5, d:-1
03:53:16 exp:125.36/29.42/31, hash:124.98/29.54/ 99.7%, now:125.41/29.53/100.0%/ 99.7%/30, V:1255, P:3694+0.4%, L:0.00%/0.000, T:70.8/73.2/6.5, d:268435456
03:53:36 exp:125.36/29.42/31, hash:125.01/29.52/ 99.7%, now:125.37/29.54/100.0%/ 99.7%/30, V:1255, P:3694+0.4%, L:0.00%/0.000, T:70.8/73.1/6.5, d:0
03:53:56 exp:125.36/29.42/31, hash:125.06/29.53/ 99.7%, now:125.43/29.53/100.1%/ 99.7%/30, V:1254, P:3694+0.4%, L:0.00%/0.000, T:70.9/73.2/6.5, d:-1
03:54:16 exp:125.36/29.42/31, hash:125.06/29.56/ 99.7%, now:125.00/29.62/ 99.7%/ 99.7%/34, V:1254, P:3688+0.3%, L:0.00%/0.000, T:70.7/73.3/6.5, d:0
03:54:36 exp:125.36/29.42/31, hash:125.09/29.54/ 99.7%, now:125.32/29.52/100.0%/ 99.8%/30, V:1254, P:3682+0.1%, L:0.00%/0.000, T:70.3/72.5/6.5, d:0
03:54:56 exp:125.36/29.42/31, hash:125.03/29.61/ 99.7%, now:124.19/29.76/ 99.1%/ 99.8%/30, V:1255, P:3682+0.1%, L:0.00%/0.000, T:70.4/72.7/6.5, d:1
03:55:16 exp:125.36/29.42/31, hash:125.05/29.58/ 99.7%, now:125.36/29.48/100.0%/ 99.7%/31, V:1255, P:3692+0.4%, L:0.00%/0.000, T:70.6/73.1/7.0, d:0
03:55:36 exp:125.36/29.42/31, hash:125.05/29.60/ 99.7%, now:125.43/29.50/100.1%/ 99.7%/34, V:1254, P:3700+0.6%, L:0.00%/0.000, T:70.6/73.7/7.0, d:-1073741824
03:55:56 exp:125.36/29.42/31, hash:125.05/29.59/ 99.7%, now:124.72/29.70/ 99.5%/ 99.7%/33, V:1254, P:3688+0.3%, L:0.00%/0.000, T:70.2/73.1/7.5, d:0
