%
0439 C106, F:602, V:336, T: 56.5, 100.7%
0439 C107, F:617, V:342, T: 63.5,  91.7%
0439 C108, F:625, V:339, T: 60.0,  98.2%
0439 C109, F:577, V:341, T: 54.0,  99.8%
0439 C110, F:598, V:341, T: 56.0,  98.3%
0440 C0  , F:553, V:337, T: 51.5,  86.8%
0440 C1  , F:642, V:335, T: 59.0,  84.0%
0440 C2  , F:615, V:334, T: 62.0,  84.7%
0440 C3  , F:610, V:333, T: 59.0,  88.9%
0440 C4  , F:639, V:334, T: 59.5,  82.9%
0440 C5  , F:611, V:335, T: 55.5,  85.9%
0440 C6  , F:608, V:334, T: 57.5,  81.9%
0440 C7  , F:615, V:334, T: 60.5,  89.1%
0440 C8  , F:608, V:336, T: 58.5,  80.2%
0440 C9  , F:602, V:332, T: 59.5,  85.1%
0440 C10 , F:613, V:333, T: 60.5,  88.2%
0440 C11 , F:609, V:336, T: 59.5,  82.8%
0440 C12 , F:615, V:337, T: 62.0,  87.8%
0440 C13 , F:586, V:337, T: 63.0,  87.2%
0440 C14 , F:606, V:336, T: 61.0,  85.1%
0440 C15 , F:601, V:330, T: 63.5,  85.6%
0440 C16 , F:591, V:332, T: 63.0,  84.0%
0440 C17 , F:639, V:330, T: 65.0,  81.9%
0440 C18 , F:600, V:332, T: 67.0,  84.9%
0440 C19 , F:582, V:332, T: 66.5,  86.3%
0440 C20 , F:609, V:331, T: 66.0,  84.8%
0440 C21 , F:617, V:326, T: 68.5,  86.2%
0440 C22 , F:599, V:326, T: 69.5,  82.2%
0440 C23 , F:601, V:328, T: 70.0,  81.1%
0440 C24 , F:605, V:326, T: 70.5,  83.2%
0440 C25 , F:586, V:325, T: 71.0,  85.0%
0440 C26 , F:608, V:326, T: 70.0,  82.8%
0440 C27 , F:591, V:325, T: 70.5,  88.4%
0440 C28 , F:603, V:325, T: 73.0,  82.8%
0440 C29 , F:603, V:327, T: 73.5,  79.7%
0440 C30 , F:624, V:322, T: 74.5,  82.0%
0440 C31 , F:599, V:322, T: 74.0,  85.0%
0440 C32 , F:593, V:324, T: 73.5,  84.7%
0440 C33 , F:576, V:319, T: 73.5,  90.8%
0440 C34 , F:610, V:319, T: 76.5,  80.7%
0440 C35 , F:600, V:322, T: 76.0,  85.5%
0440 C36 , F:590, V:323, T: 78.0,  83.5%
0440 C37 , F:593, V:324, T: 78.5,  85.5%
0440 C38 , F:611, V:323, T: 77.0,  82.2%
0440 C39 , F:598, V:321, T: 78.5,  84.6%
0440 C40 , F:605, V:322, T: 79.0,  84.1%
0440 C41 , F:587, V:322, T: 79.0,  81.5%
0440 C42 , F:598, V:318, T: 79.5,  87.0%
0440 C43 , F:606, V:319, T: 80.5,  86.5%
0440 C44 , F:588, V:320, T: 79.0,  83.7%
0440 C45 , F:600, V:317, T: 80.0,  87.3%
0440 C46 , F:599, V:318, T: 80.5,  83.9%
0440 C47 , F:591, V:322, T: 81.0,  84.1%
0440 C48 , F:598, V:319, T: 81.5,  79.2%
